Tab 1:
|      |   No | Division       | Sub-Division          | Country        | Legal Entity                       | KRIs                                      |     Q3 2024 KRI |     Q2 2024 KRI |      Variance | Sample Selected   |
|-----:|-----:|:---------------|:----------------------|:---------------|:-----------------------------------|:------------------------------------------|----------------:|----------------:|--------------:|:------------------|
|    0 |    1 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Total clients                             |              22 |              23 |  -0.0454545   |                   |
|    1 |    2 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Business Income                           |         5923912 |         5501331 |   0.0713348   |                   |
|    2 |    3 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Total Transactions                        |               0 |               0 |   0           |                   |
|    3 |    4 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Value of transactions                     |               0 |               0 |   0           |                   |
|    4 |    5 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | HR Clients                                |               0 |               0 |   0           |                   |
|    5 |    6 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | MR Clients                                |               0 |               0 |   0           |                   |
|    6 |    7 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | LR Clients                                |               1 |               0 |   1           |                   |
|    7 |    8 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|    8 |    9 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|    9 |   10 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Clients with HR products                  |               0 |               0 |   0           |                   |
|   10 |   11 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | New Products                              |               0 |               0 |   0           |                   |
|   11 |   12 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Wires - volume                            |               0 |               0 |   0           |                   |
|   12 |   13 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Wires - value                             |               0 |               0 |   0           |                   |
|   13 |   14 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | PEPs                                      |               0 |               0 |   0           |                   |
|   14 |   15 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Transactions Prohibited countries - value |               0 |               0 |   0           |                   |
|   15 |   16 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Transactions with Russia - volume         |               0 |               0 |   0           |                   |
|   16 |   17 | AM             | Asset Management      | Australia      | Willett Bank Australia Investments | Transactions with Russia - value          |               0 |               0 |   0           |                   |
|   17 |   18 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Total clients                             |              63 |             186 |  -1.95238     | 1                 |
|   18 |   19 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Business Income                           |         6918042 |         5092488 |   0.263883    |                   |
|   19 |   20 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Total Transactions                        |         2403205 |         2347348 |   0.0232427   |                   |
|   20 |   21 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Value of transactions                     |     16795021052 |     14842838965 |   0.116236    |                   |
|   21 |   22 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | HR Clients                                |              15 |              23 |  -0.533333    |                   |
|   22 |   23 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | MR Clients                                |              12 |              50 |  -3.16667     | 1                 |
|   23 |   24 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | LR Clients                                |               0 |               3 |   0           |                   |
|   24 |   25 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Terrorist Financing breaches              |               0 |               1 |   0           |                   |
|   25 |   26 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Proliferation Financing breaches          |               0 |               2 |   0           |                   |
|   26 |   27 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | New Products                              |               0 |               0 |   0           |                   |
|   27 |   28 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | New Products                              |             259 |             186 |   0.281853    |                   |
|   28 |   29 | Corporate Bank | Corporate Loans       | Australia      | Willett Bank Sydney                | Wires - value                             |        23910418 |        15674206 |   0.344461    |                   |
|   29 |   30 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Business Income                           |        -5917342 |        -7261510 |  -0.227157    |                   |
|   30 |   31 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Total Transactions                        |          176552 |          187900 |  -0.0642757   |                   |
|   31 |   32 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Value of transactions                     |   1292654511885 |   1293117133348 |  -0.000357885 |                   |
|   32 |   33 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | HR Clients                                |               2 |               0 |   1           |                   |
|   33 |   34 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | MR Clients                                |               7 |               0 |   1           |                   |
|   34 |   35 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | LR Clients                                |               1 |               0 |   1           |                   |
|   35 |   36 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|   36 |   37 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|   37 |   38 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Clients with HR products                  |               0 |               0 |   0           |                   |
|   38 |   39 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | New Products                              |               0 |               0 |   0           |                   |
|   39 |   40 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Wires - volume                            |             170 |              21 |   0.876471    |                   |
|   40 |   41 | Markets        | Sales                 | Australia      | Willett Bank Sydney                | Wires - value                             |      1312162510 |       741043012 |   0.435251    |                   |
|   41 |   42 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | Total clients                             |             139 |             124 |   0.107914    |                   |
|   42 |   43 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | Business Income                           |         4442938 |         4640717 |  -0.0445154   |                   |
|   43 |   44 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | HR Clients                                |               6 |               2 |   0.666667    |                   |
|   44 |   45 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | MR Clients                                |              33 |              34 |  -0.030303    |                   |
|   45 |   46 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | LR Clients                                |               2 |               2 |   0           |                   |
|   46 |   47 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | Terrorist Financing breaches              |               1 |               0 |   1           |                   |
|   47 |   48 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|   48 |   49 | Markets        | M&A                   | Australia      | Willett Bank Sydney                | New Products                              |               0 |               0 |   0           |                   |
|   49 |   50 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Total clients                             |             139 |             124 |   0.107914    |                   |
|   50 |   51 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Business Income                           |         9842919 |         8224682 |   0.164406    |                   |
|   51 |   52 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Total Transactions                        |             395 |             374 |   0.0531646   |                   |
|   52 |   53 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Value of transactions                     |     10066085002 |      9514886262 |   0.054758    |                   |
|   53 |   54 | Markets        | Trading               | Australia      | Willett Bank Sydney                | HR Clients                                |               6 |               2 |   0.666667    |                   |
|   54 |   55 | Markets        | Trading               | Australia      | Willett Bank Sydney                | MR Clients                                |              33 |              34 |  -0.030303    |                   |
|   55 |   56 | Markets        | Trading               | Australia      | Willett Bank Sydney                | LR Clients                                |               2 |               2 |   0           |                   |
|   56 |   57 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Terrorist Financing breaches              |               1 |               0 |   1           |                   |
|   57 |   58 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|   58 |   59 | Markets        | Trading               | Australia      | Willett Bank Sydney                | New Products                              |               0 |               0 |   0           |                   |
|   59 |   60 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Wires - volume                            |               2 |               3 |  -0.5         |                   |
|   60 |   61 | Markets        | Trading               | Australia      | Willett Bank Sydney                | Wires - value                             |       723983697 |       780322129 |  -0.0778173   |                   |
|   61 |   62 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Total clients                             |             698 |             691 |   0.0100287   |                   |
|   62 |   63 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Business Income                           |        10134679 |         9823804 |   0.0306744   |                   |
|   63 |   64 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Total Transactions                        |        17026741 |        16568653 |   0.026904    |                   |
|   64 |   65 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Value of transactions                     |    131572522035 |    125346557861 |   0.0473196   |                   |
|   65 |   66 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | HR Clients                                |              43 |              38 |   0.116279    |                   |
|   66 |   67 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | MR Clients                                |             120 |             110 |   0.0833333   |                   |
|   67 |   68 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | LR Clients                                |              22 |              10 |   0.545455    |                   |
|   68 |   69 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Terrorist Financing breaches              |              21 |               9 |   0.571429    |                   |
|   69 |   70 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|   70 |   71 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | New Products                              |               0 |               0 |   0           |                   |
|   71 |   72 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Wires - volume                            |           38285 |           37737 |   0.0143137   |                   |
|   72 |   73 | Corporate Bank | Corporate Loans       | Austria        | Willett Bank Wien                  | Wires - value                             |      2563282100 |      2530171922 |   0.0129171   |                   |
|   73 |   74 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Total clients                             |             118 |               0 |   1           |                   |
|   74 |   75 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Business Income                           |         2243183 |         1994466 |   0.110877    |                   |
|   75 |   76 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Total Transactions                        |            6973 |            6483 |   0.070271    |                   |
|   76 |   77 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Value of transactions                     |       740208225 |       738330983 |   0.0025361   |                   |
|   77 |   78 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | HR Clients                                |               8 |               0 |   1           |                   |
|   78 |   79 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | MR Clients                                |              18 |               0 |   1           |                   |
|   79 |   80 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | LR Clients                                |               0 |               0 |   0           |                   |
|   80 |   81 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Terrorist Financing breaches              |               0 |               0 |   0           |                   |
|   81 |   82 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|   82 |   83 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | New Products                              |               0 |               0 |   0           |                   |
|   83 |   84 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Wires - volume                            |            1928 |            1796 |   0.0684647   |                   |
|   84 |   85 | Corporate Bank | Marine Finance        | Austria        | Willett Bank Wien                  | Wires - value                             |       246320413 |       233499497 |   0.0520498   |                   |
|   85 |   86 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Total clients                             |             817 |             838 |  -0.0257038   |                   |
|   86 |   87 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Business Income                           |        29739829 |        26164429 |   0.120223    |                   |
|   87 |   88 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Total Transactions                        |        10658897 |        10442728 |   0.0202806   |                   |
|   88 |   89 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Value of transactions                     |    331313369320 |    326594420187 |   0.0142432   |                   |
|   89 |   90 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | HR Clients                                |              45 |              49 |  -0.0888889   |                   |
|   90 |   91 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | MR Clients                                |             166 |             169 |  -0.0180723   |                   |
|   91 |   92 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | LR Clients                                |              21 |              12 |   0.428571    |                   |
|   92 |   93 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Terrorist Financing breaches              |              16 |               4 |   0.75        |                   |
|   93 |   94 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Proliferation Financing breaches          |               5 |               1 |   0.8         |                   |
|   94 |   95 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | New Products                              |               0 |               0 |   0           |                   |
|   95 |   96 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Wires - volume                            |           64365 |           62769 |   0.0247961   |                   |
|   96 |   97 | Corporate Bank | Corporate Loans       | Belgium        | Willett Bank Brussels              | Wires - value                             |      6473546117 |      6551176877 |  -0.011992    |                   |
|   97 |   98 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Total clients                             |             248 |               0 |   1           |                   |
|   98 |   99 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Business Income                           |         3490594 |         3262845 |   0.0652465   |                   |
|   99 |  100 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Total Transactions                        |           16305 |           16437 |  -0.00809568  |                   |
|  100 |  101 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Value of transactions                     |      2473722490 |      2210395639 |   0.10645     |                   |
|  101 |  102 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | HR Clients                                |              13 |               0 |   1           |                   |
|  102 |  103 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | MR Clients                                |              55 |               0 |   1           |                   |
|  103 |  104 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | LR Clients                                |               3 |               0 |   1           |                   |
|  104 |  105 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Terrorist Financing breaches              |               2 |               0 |   1           |                   |
|  105 |  106 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Proliferation Financing breaches          |               0 |               0 |   0           |                   |
|  106 |  107 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | New Products                              |               0 |               0 |   0           |                   |
|  107 |  108 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Wires - volume                            |            5953 |            6834 |  -0.147993    |                   |
|  108 |  109 | Corporate Bank | Marine Finance        | Belgium        | Willett Bank Brussels              | Wires - value                             |       482243525 |      1117552790 |  -1.3174      | 1                 |
|  109 |  110 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Total clients                             |             391 |             385 |   0.0153453   |                   |
|  110 |  111 | Corporate Bank | Corporate Loans       | Brazil         | Willett Bank Brazil                | Business Income                           |        11571745 |        10872881 |   0.060394    |                   |
