actual,predictions
"|   Variance |
|-----------:|
|         -6 |
|         10 |
|        -19 |
|        -21 |
|        -19 |","94  
11  
6309  
1433  
19"
"|   Variance |
|-----------:|
|         10 |
|         -3 |
|        -12 |
|         12 |
|        -19 |",223 | -2 | 1388 | -17 | -13 | 13
"|   Variance |
|-----------:|
|         -2 |
|         60 |
|         -9 |
|         -9 |
|          5 |",4 | -29 | 100 | 5 | -11 | 3 | -3 |
"|   Variance |
|-----------:|
|          3 |
|         -2 |
|        -81 |
|        -75 |
|         27 |",9 | 7 | 13 | 18 | 13
"|   Variance |
|-----------:|
|        -33 |
|          2 |
|        -15 |
|       -100 |
|         58 |","26  
2  
3395  
-7  
3883"
"|   Variance |
|-----------:|
|          6 |
|          0 |
|          8 |
|        -15 |
|         -2 |","- 5%
- 0%
- 2679%
- -4%
- 1%"
"|   Variance |
|-----------:|
|        -13 |
|        -10 |
|         -9 |
|        -59 |
|        -30 |","- 1517
- 1058
- -16
- -26
- 471"
"|   Variance |
|-----------:|
|          9 |
|         18 |
|        -18 |
|        383 |
|          8 |","56
46
11
547
-19"
"|   Variance |
|-----------:|
|         -9 |
|        -20 |
|          0 |
|        -17 |
|         10 |","56
22
0
-3
4368"
"|   Variance |
|-----------:|
|         12 |
|         -1 |
|        -69 |
|          7 |
|        -19 |","- 19
- 92
- 12
- 16
- -6"
"|   Variance |
|-----------:|
|         -4 |
|        -13 |
|        -52 |
|        -32 |
|          9 |","141
143
-19
16
-19"
"|   Variance |
|-----------:|
|         14 |
|         68 |
|         51 |
|          2 |
|         12 |",1333
"|   Variance |
|-----------:|
|         -5 |
|        -18 |
|          1 |
|        -13 |
|        -83 |","928
1109
1
577
-5"
"|   Variance |
|-----------:|
|         36 |
|          6 |
|          1 |
|        -59 |
|         11 |","15
9
1
-84
-9"
"|   Variance |
|-----------:|
|         -9 |
|        -10 |
|        136 |
|          2 |
|        -15 |",699 | 1045 | 1207 | 2 | -233 | 2739 |
"|   Variance |
|-----------:|
|         -3 |
|        -34 |
|        -50 |
|        100 |
|        -20 |","- 83
- 725
- -11
- -16
- -94"
"|   Variance |
|-----------:|
|        -21 |
|         22 |
|        -15 |
|        -20 |
|         -1 |","- 17
- 1011
- 115
- 14
- 13"
"|   Variance |
|-----------:|
|         38 |
|         24 |
|         64 |
|         -4 |
|         11 |","To calculate the quarter-on-quarter variance, we need to subtract the value of the previous quarter from the current quarter and then divide by the value of the previous quarter.

Let's do this calculation for each row:

1. For Q2 (current) - Q1 (previous): (2415 - 0) / 0 = 2415 (since there is no prior quarter)
2. For Q3 (current) - Q2 (previous): (1746 - 2415) / 2415 = -669/2415 ≈ -0.2765
3. For Q4 (current) - Q3 (previous): (2228 - 1746) / 1746 = 482/1746 ≈ 0.2765

Rounded integers:
- 2415
- -1
- 0"
"|   Variance |
|-----------:|
|         32 |
|        -11 |
|         43 |
|        -10 |
|          0 |","569
126
8
-4
2"
"|   Variance |
|-----------:|
|        -24 |
|         10 |
|          8 |
|          7 |
|        -11 |","17  
-3  
2428  
-6  
1"
"|   Variance |
|-----------:|
|         27 |
|          0 |
|          1 |
|         13 |
|         -4 |","10
-30
11
11
7"
"|   Variance |
|-----------:|
|         15 |
|          6 |
|        -27 |
|        350 |
|         22 |","- 6
- -132
- 348
- 14
- 670"
"|   Variance |
|-----------:|
|         13 |
|         -8 |
|        -19 |
|         20 |
|          0 |","102  
180  
118  
6468  
10"
"|   Variance |
|-----------:|
|         -5 |
|        -19 |
|         24 |
|         17 |
|        150 |","- 4%
- 15%
- 10%
- 10%
- -6%"
"|   Variance |
|-----------:|
|        -13 |
|         14 |
|         10 |
|         41 |
|        -16 |","- 4360 - 5021 = -661 (rounded: -661)
- 4940 - 4319 = 621 (rounded: 621)
- 86 - 78 = 8 (rounded: 8)
- 55 - 39 = 16 (rounded: 16)
- 2573 - 3061 = -488 (rounded: -488)"
"|   Variance |
|-----------:|
|         -3 |
|         27 |
|        -16 |
|         23 |
|        533 |","- 23
- -742
- 3756
- 49
- 16"
"|   Variance |
|-----------:|
|          6 |
|         23 |
|        100 |
|        -27 |
|         17 |","1090  
454  
11  
2  
-5"
"|   Variance |
|-----------:|
|          0 |
|        -13 |
|       -100 |
|         43 |
|         19 |","-5
1029
-7
-11
59"
"|   Variance |
|-----------:|
|         15 |
|          3 |
|          0 |
|         -5 |
|          6 |","15
2
0
-2
13"
"|   Variance |
|-----------:|
|        -10 |
|         16 |
|          1 |
|         -8 |
|        -42 |",20 | -72 | -1 | 933 | 757 | 629 |
"|   Variance |
|-----------:|
|         24 |
|        -11 |
|         -7 |
|        -27 |
|         14 |","21
55
3692
3933
1"
"|   Variance |
|-----------:|
|         32 |
|          0 |
|        -17 |
|         15 |
|          3 |","0  
16  
-1259  
8  
1225"
"|   Variance |
|-----------:|
|        -11 |
|        -50 |
|        -15 |
|          9 |
|        150 |",264 | 2 | 58 | -54 | 791
"|   Variance |
|-----------:|
|        -24 |
|         31 |
|         11 |
|         15 |
|       -100 |","7
16
12
6
-2"
"|   Variance |
|-----------:|
|        -53 |
|          9 |
|       1479 |
|        -18 |
|          3 |","437
-894
-710
1637
950"
"|   Variance |
|-----------:|
|          8 |
|         13 |
|         -6 |
|          0 |
|         12 |","-5
-11
-3
0
-743"
"|   Variance |
|-----------:|
|          4 |
|         16 |
|        -71 |
|         17 |
|         19 |","10  
3  
575  
9  
11"
"|   Variance |
|-----------:|
|         23 |
|        433 |
|         33 |
|         -5 |
|        -22 |","- 280
- -23
- 655
- -12
- 476"
"|   Variance |
|-----------:|
|        -20 |
|          6 |
|          0 |
|       -100 |
|        -25 |","1249
648
0
-9
455"
"|   Variance |
|-----------:|
|        -22 |
|         -2 |
|         -8 |
|         14 |
|         11 |","6  
2  
9634  
950  
5"
