actual,predictions,similarity
"|   Variance |
|-----------:|
|         -6 |
|         10 |
|        -19 |
|        -21 |
|        -19 |","94  
11  
6309  
1433  
19",0.022968627512454987
"|   Variance |
|-----------:|
|         10 |
|         -3 |
|        -12 |
|         12 |
|        -19 |",223 | -2 | 1388 | -17 | -13 | 13,0.41795414686203003
"|   Variance |
|-----------:|
|         -2 |
|         60 |
|         -9 |
|         -9 |
|          5 |",4 | -29 | 100 | 5 | -11 | 3 | -3 |,0.4644044041633606
"|   Variance |
|-----------:|
|          3 |
|         -2 |
|        -81 |
|        -75 |
|         27 |",9 | 7 | 13 | 18 | 13,0.4045422077178955
"|   Variance |
|-----------:|
|        -33 |
|          2 |
|        -15 |
|       -100 |
|         58 |","26  
2  
3395  
-7  
3883",0.21148310601711273
"|   Variance |
|-----------:|
|          6 |
|          0 |
|          8 |
|        -15 |
|         -2 |","- 5%
- 0%
- 2679%
- -4%
- 1%",0.3516852855682373
"|   Variance |
|-----------:|
|        -13 |
|        -10 |
|         -9 |
|        -59 |
|        -30 |","- 1517
- 1058
- -16
- -26
- 471",0.2083379030227661
"|   Variance |
|-----------:|
|          9 |
|         18 |
|        -18 |
|        383 |
|          8 |","56
46
11
547
-19",0.20242822170257568
"|   Variance |
|-----------:|
|         -9 |
|        -20 |
|          0 |
|        -17 |
|         10 |","56
22
0
-3
4368",0.19971486926078796
"|   Variance |
|-----------:|
|         12 |
|         -1 |
|        -69 |
|          7 |
|        -19 |","- 19
- 92
- 12
- 16
- -6",0.430889368057251
"|   Variance |
|-----------:|
|         -4 |
|        -13 |
|        -52 |
|        -32 |
|          9 |","141
143
-19
16
-19",0.17263354361057281
"|   Variance |
|-----------:|
|         14 |
|         68 |
|         51 |
|          2 |
|         12 |",1333,0.18119767308235168
"|   Variance |
|-----------:|
|         -5 |
|        -18 |
|          1 |
|        -13 |
|        -83 |","928
1109
1
577
-5",0.04084125533699989
"|   Variance |
|-----------:|
|         36 |
|          6 |
|          1 |
|        -59 |
|         11 |","15
9
1
-84
-9",0.24747225642204285
"|   Variance |
|-----------:|
|         -9 |
|        -10 |
|        136 |
|          2 |
|        -15 |",699 | 1045 | 1207 | 2 | -233 | 2739 |,0.2881828248500824
"|   Variance |
|-----------:|
|         -3 |
|        -34 |
|        -50 |
|        100 |
|        -20 |","- 83
- 725
- -11
- -16
- -94",0.3117903172969818
"|   Variance |
|-----------:|
|        -21 |
|         22 |
|        -15 |
|        -20 |
|         -1 |","- 17
- 1011
- 115
- 14
- 13",0.30039340257644653
